parameterization_id,iteration_number,sim_id,likelihood,ARTLinkMax,ARTLinkMid,BaseInfectivity,Homa_BayInfrmlCondomsMax,Homa_BayLOWRisk,Homa_BayTrnsCondomsMax,InfmrlFormRate,InfrmlCondomMid,InfrmlCondomRate,InfrmlCondomsMax,InfrmlDurHet,KisiiInfrmlCondomsMax,KisiiLOWRisk,KisiiTrnsCondomsMax,KisumuInfrmlCondomsMax,KisumuLOWRisk,KisumuTrnsCondomsMax,MaleToFemaleOld,MaleToFemaleYoung,MaxInfrmlFLOW,MaxInfrmlFMED,MaxInfrmlMLOW,MaxInfrmlMMED,MaxMrtlFMED,MaxMrtlMMED,MaxTrnsFLOW,MaxTrnsFMED,MaxTrnsMLOW,MaxTrnsMMED,MigoriInfrmlCondomsMax,MigoriLOWRisk,MigoriTrnsCondomsMax,MrtlCondomMax,MrtlCondomMid,MrtlCondomRate,MrtlFormRate,NyamiraInfrmlCondomsMax,NyamiraLOWRisk,NyamiraTrnsCondomsMax,PrExInfrmlFemLOW,PrExInfrmlFemMED,PrExInfrmlMaleLOW,PrExInfrmlMaleMED,PrExTrnsFemLOW,PrExTrnsFemMED,PrExTrnsMaleLOW,PrExTrnsMaleMED,PreARTLinkMax,PreARTLinkMid,PreARTLinkMin,RiskAssortivity,SeedYrHigh,SexualDebutAgeFemaleWeibullHeterogeneity,SexualDebutAgeFemaleWeibullScale,SexualDebutAgeMaleWeibullHeterogeneity,SexualDebutAgeMaleWeibullScale,SiayaInfrmlCondomsMax,SiayaLOWRisk,SiayaTrnsCondomsMax,TrnsCondomMax,TrnsCondomMid,TrnsCondomRate,TrnsFormRate,run_number
130,-1,5f208077-b7da-e811-a2bd-c4346bcb1555,3.35e+42,0.963077748,2003.2188899999999,0.001222113,0.19476987199999998,0.598116809,0.274746247,0.00010257799999999999,1998.7204160000001,1.808201629,0.22664922199999998,0.75,0.202102015,0.9444892490000001,0.318222502,0.194875253,0.765573012,0.33695166,2.134150272,1.3936240009999998,1.140148854,2.632868756,1.1953351079999999,2.7338143839999995,1.1128493190000002,1.325501698,1.593691978,3.0,1.673799122,2.975082645,0.21958582100000001,0.827764954,0.258200889,0.18494589600000003,1995.8197239999997,1.9887585890000001,5.479999999999999e-05,0.156716361,0.9441998070000001,0.295803028,0.351375903,0.38738491,0.240817292,0.45112751700000003,0.019356947,0.507850833,0.352260674,0.629982963,0.8025375220000001,2003.8467719999999,0.401882391,0.6865164090000001,1982,0.09920743900000001,16.39076539,0.082983816,15.95095043,0.162427756,0.703415115,0.319982343,0.267789542,1997.505706,2.0720578990000003,0.001414745,8169
131,-1,11a60431-71d6-e811-a2bd-c4346bcb1555,2.28e+42,0.9874473990000001,2002.217302,0.0010994849999999999,0.18874915399999997,0.61587806,0.252315884,9.13e-05,1999.054603,1.5389322840000002,0.19948434199999998,0.75,0.205674653,0.95,0.316144406,0.18578223600000002,0.746929134,0.31687714300000003,2.1944843290000002,1.4975960330000002,1.125129876,2.451363949,1.214067999,2.75092052,1.145704536,1.353701381,1.6194342119999998,2.904363825,1.72838371,3.0,0.181818542,0.831509462,0.25906635100000003,0.143798954,1995.9650800000002,1.9875415330000001,5.8200000000000005e-05,0.148457172,0.9251660359999999,0.296937839,0.376261708,0.384972618,0.255692075,0.430152298,0.016692981000000003,0.43775619200000004,0.332174409,0.626714227,0.8193033340000001,2001.82898,0.510806371,0.592100266,1982,0.083990463,16.66213311,0.047890168,15.66649584,0.21533087199999998,0.701353135,0.297366938,0.281286506,1996.9797239999998,1.965306005,0.0015559460000000001,30664
132,-1,2d002326-01da-e811-a2bd-c4346bcb1555,3.91e+42,1.0,2002.58768,0.0012350929999999998,0.197311724,0.588999237,0.298547528,9.13e-05,1998.674086,1.7689967119999999,0.23055863699999998,0.75,0.18402453600000002,0.95,0.294704822,0.19679163,0.785750712,0.31750947399999996,1.905398694,1.378015031,1.158711365,2.542538649,1.188425143,2.862794118,1.147494392,1.3409736079999999,1.5408069519999998,3.0,1.741504025,2.9386007999999997,0.18414921899999998,0.8111513440000001,0.287160285,0.180480657,1995.61235,1.9828573969999999,6.68e-05,0.150985473,0.931159628,0.313116276,0.36145966,0.37658742700000003,0.249450511,0.445694086,0.029851701,0.47201667700000005,0.34229035399999996,0.617060886,0.80209496,2003.0210670000001,0.43571166899999997,0.7100067179999999,1982,0.09518820900000001,16.79377443,0.057971878,15.69469421,0.174085873,0.68747514,0.302592177,0.282495244,1997.6286510000002,1.7938066330000002,0.001542752,60856
133,-1,0624d169-2ed4-e811-a2bd-c4346bcb1555,1.2600000000000001e+42,1.0,2002.667967,0.001251277,0.208316532,0.622851265,0.27256939399999996,0.00014258,1999.206624,1.452858843,0.21713523,0.75,0.1925647,0.948405708,0.30921914100000003,0.21623450800000002,0.7630770040000001,0.299905078,2.5237699190000003,1.310882109,1.1412811809999999,2.537935239,1.206861775,2.756453099,1.1460924129999999,1.2823742740000001,1.5363258080000002,2.8997028730000003,1.734634741,2.931144443,0.179045028,0.836019098,0.291088617,0.1642645,1995.7467969999998,1.8959746080000002,5.479999999999999e-05,0.190029456,0.9260170990000001,0.307884661,0.377482145,0.35135029700000003,0.248149645,0.468933225,0.032982033,0.47461549399999997,0.326386523,0.628422137,0.81212874,2003.376694,0.518996611,0.590609556,1982,0.085666771,16.86636045,0.045900788,15.95745948,0.185999475,0.69990348,0.308474449,0.27661271,1998.853204,2.113282126,0.001637757,19210
134,-1,ff0a2d10-6dd6-e811-a2bd-c4346bcb1555,3.2400000000000005e+42,1.0,2002.599605,0.0011651769999999999,0.19927352399999998,0.614606069,0.278291862,9.13e-05,2000.042318,1.610728458,0.221181375,0.75,0.184588008,0.95,0.32124808,0.20234676,0.744593035,0.314402826,2.095546117,1.249799242,1.149043722,2.474877663,1.158260226,2.7216435339999996,1.06902088,1.3227104029999999,1.619566511,2.8713955560000004,1.691430618,3.0,0.18871378,0.842467959,0.287732796,0.146650569,1995.595996,1.8691512080000001,6.91e-05,0.15273271800000002,0.8896555070000001,0.274887143,0.37835916399999997,0.388695943,0.250888018,0.43987315299999996,0.02719373,0.448487498,0.334593358,0.643302129,0.890003798,2002.2079,0.53018642,0.603664523,1982,0.07840979,17.02312194,0.04,15.46357176,0.187195346,0.708064769,0.29516684,0.242300922,1998.402266,2.085846514,0.0015203810000000001,50745
135,-1,b6da221b-3adc-e811-a2bd-c4346bcb1555,3.8000000000000004e+42,1.0,2003.5534129999999,0.001289402,0.227981016,0.599713229,0.201841188,9.13e-05,1998.763691,1.8458655590000002,0.206493526,0.75,0.196782021,0.947874691,0.335419961,0.166539998,0.7673269,0.332387685,1.6666538830000002,1.215725617,1.157188548,2.487543347,1.128948505,2.775051997,1.119890327,1.4099870509999999,1.6033514169999998,2.994835212,1.701502412,2.89575537,0.211198115,0.756939327,0.258711949,0.185176686,1996.2192129999999,2.199866992,5.8099999999999996e-05,0.108198122,0.9185501859999999,0.2953703,0.366480333,0.406829816,0.233800991,0.398098425,0.03978024,0.46418544899999997,0.312363753,0.638647772,0.728880558,2002.552171,0.404381892,0.672472961,1982,0.077011669,16.23328839,0.04,15.98484817,0.153806303,0.731912025,0.32329483,0.277364832,1998.1471510000001,1.751499335,0.001453184,5472
136,-1,ac1427ec-72db-e811-a2bd-c4346bcb1555,2.5200000000000003e+42,0.9765419479999999,2002.9058519999999,0.001407622,0.181595929,0.60520584,0.202488425,9.13e-05,1998.085509,1.8666139780000002,0.23616152,0.75,0.218021324,0.95,0.307524382,0.158216002,0.787308963,0.339714685,1.8806148040000001,1.227510747,1.1783959990000001,2.454492705,1.139362893,2.7079497310000002,1.123563063,1.308670158,1.573283035,2.8944061110000003,1.678812622,3.0,0.21965542899999999,0.8324816559999999,0.260318358,0.202978212,1996.246896,2.038442222,5.479999999999999e-05,0.132840201,0.95,0.248331474,0.36233606799999996,0.394784732,0.254084455,0.42453275100000004,0.022585482999999996,0.5064810679999999,0.32620702,0.644771907,0.7467730090000001,2003.096965,0.381825717,0.6765339440000001,1982,0.083995107,16.50722505,0.04905817,15.90522494,0.136329962,0.711621025,0.320678346,0.275135883,1997.9620109999998,1.9499053069999999,0.0014200060000000001,33732
137,-1,333e66ea-d8d8-e811-a2bd-c4346bcb1555,3.2100000000000004e+42,1.0,2002.639521,0.001062092,0.211705618,0.600982085,0.288306894,0.000274255,2000.149566,1.482808694,0.242976508,0.75,0.19903346600000002,0.947359272,0.284591315,0.166387384,0.7528360070000001,0.316178195,2.019032396,1.412477835,1.128612117,2.470424253,1.153313883,2.779034116,1.054723614,1.318905415,1.6156624119999998,2.8493770310000004,1.7787034119999998,2.89432701,0.176765297,0.826576302,0.31314089100000003,0.150957497,1995.8712920000003,1.8522272069999999,6.3e-05,0.184092667,0.9167069729999999,0.31017021699999997,0.391640235,0.403175196,0.244032912,0.437111609,0.017287256,0.48710868,0.327886117,0.590236521,0.840299598,2002.2756760000002,0.483913011,0.616520758,1982,0.094914236,16.62146167,0.058514324000000006,15.7101016,0.18191118899999997,0.667380112,0.310501386,0.28409301600000003,1997.700852,2.022242443,0.0014599670000000002,31617
138,-1,d139c601-01da-e811-a2bd-c4346bcb1555,3.4900000000000004e+42,1.0,2001.984691,0.001193818,0.20531532100000002,0.600003155,0.266855789,0.00010057600000000001,1999.290497,1.650307595,0.231451013,0.75,0.19581569199999999,0.947394958,0.314766098,0.191421354,0.750011801,0.325202507,1.941724115,1.115806474,1.225828565,2.478283374,1.158998903,2.645510795,1.086108997,1.365667807,1.5532026909999999,2.997265507,1.7424689830000002,2.8494830560000004,0.19095429100000003,0.8277557790000001,0.294147089,0.16878772600000003,1996.322241,1.992274429,6.879999999999999e-05,0.165060338,0.916255004,0.299684706,0.367251905,0.394103411,0.253210382,0.46549201799999995,0.019212581,0.50434305,0.33841079999999996,0.677553345,0.7741833109999999,2003.463579,0.435101599,0.692973527,1982,0.09624480199999999,16.79871462,0.052393567,15.84303008,0.158259816,0.699989097,0.325603959,0.287433062,1997.688685,1.8443320440000002,0.0014680989999999998,1147
139,-1,e53437ae-6edb-e811-a2bd-c4346bcb1555,3.59e+42,1.0,2002.68523,0.0013010079999999998,0.193382442,0.613028029,0.217821866,0.000135969,1997.7811379999998,1.7532658980000002,0.214881403,0.75,0.209271541,0.95,0.324659944,0.162441975,0.77875724,0.34197621899999997,1.742912651,1.223373815,1.213499205,2.414116813,1.1445129440000001,2.708855324,1.128577263,1.3823510980000002,1.6273180040000002,2.9437467180000003,1.690338659,2.9652826310000004,0.21055850899999998,0.8294167259999999,0.260901276,0.198641564,1996.011659,2.154172858,5.479999999999999e-05,0.113266892,0.948308129,0.26819673899999996,0.344991945,0.38367166700000005,0.23125567600000002,0.43039415,0.026816702999999997,0.5041981529999999,0.289237523,0.642840995,0.751948556,2002.923755,0.428045629,0.6442104439999999,1982,0.07961739400000001,16.49735224,0.06714867,15.80666567,0.147593592,0.7109351709999999,0.312691147,0.269188175,1997.9896410000001,2.011594896,0.00142805,64083
