parameterization_id,iteration_number,sim_id,likelihood,ARTLinkMax,ARTLinkMid,BaseInfectivity,Homa_BayInfrmlCondomsMax,Homa_BayLOWRisk,Homa_BayTrnsCondomsMax,InfmrlFormRate,InfrmlCondomMid,InfrmlCondomRate,InfrmlCondomsMax,InfrmlDurHet,KisiiInfrmlCondomsMax,KisiiLOWRisk,KisiiTrnsCondomsMax,KisumuInfrmlCondomsMax,KisumuLOWRisk,KisumuTrnsCondomsMax,MaleToFemaleOld,MaleToFemaleYoung,MaxInfrmlFLOW,MaxInfrmlFMED,MaxInfrmlMLOW,MaxInfrmlMMED,MaxMrtlFMED,MaxMrtlMMED,MaxTrnsFLOW,MaxTrnsFMED,MaxTrnsMLOW,MaxTrnsMMED,MigoriInfrmlCondomsMax,MigoriLOWRisk,MigoriTrnsCondomsMax,MrtlCondomMax,MrtlCondomMid,MrtlCondomRate,MrtlFormRate,NyamiraInfrmlCondomsMax,NyamiraLOWRisk,NyamiraTrnsCondomsMax,PrExInfrmlFemLOW,PrExInfrmlFemMED,PrExInfrmlMaleLOW,PrExInfrmlMaleMED,PrExTrnsFemLOW,PrExTrnsFemMED,PrExTrnsMaleLOW,PrExTrnsMaleMED,PreARTLinkMax,PreARTLinkMid,PreARTLinkMin,RiskAssortivity,SeedYrHigh,SexualDebutAgeFemaleWeibullHeterogeneity,SexualDebutAgeFemaleWeibullScale,SexualDebutAgeMaleWeibullHeterogeneity,SexualDebutAgeMaleWeibullScale,SiayaInfrmlCondomsMax,SiayaLOWRisk,SiayaTrnsCondomsMax,TrnsCondomMax,TrnsCondomMid,TrnsCondomRate,TrnsFormRate,run_number
1,-1,b5eaab9c-f1dc-e811-a2bd-c4346bcb1555,4.46e+42,1.0,2002.9197809999998,0.0013408479999999997,0.22976925199999998,0.556994003,0.233762251,0.000139021,1998.6349309999998,1.746406779,0.21723151,0.75,0.22714524,0.934647931,0.369377899,0.180971429,0.764163028,0.346957998,1.4001189090000001,1.1488396859999999,1.240136561,2.487901752,1.161350995,2.7345726360000002,1.1355047679999999,1.3103927229999999,1.618856619,3.0,1.701438225,2.95126572,0.186705492,0.797272242,0.257054452,0.191459634,1995.6722309999998,2.047109945,5.479999999999999e-05,0.09289659300000001,0.899365277,0.30442089899999997,0.36389942299999994,0.407351476,0.23337449100000002,0.379548192,0.032665899,0.467991823,0.32760644,0.6094700270000001,0.735024259,2002.520249,0.415775648,0.6388365420000001,1982,0.085911979,16.03553126,0.04,16.08972574,0.1605249,0.726122395,0.305903644,0.245522669,1997.9595170000002,1.804323307,0.001363426,42397
2,-1,333f4500-f9dc-e811-a2bd-c4346bcb1555,4.46e+42,1.0,2002.9197809999998,0.0013408479999999997,0.22976925199999998,0.556994003,0.233762251,0.000139021,1998.6349309999998,1.746406779,0.21723151,0.75,0.22714524,0.934647931,0.369377899,0.180971429,0.764163028,0.346957998,1.4001189090000001,1.1488396859999999,1.240136561,2.487901752,1.161350995,2.7345726360000002,1.1355047679999999,1.3103927229999999,1.618856619,3.0,1.701438225,2.95126572,0.186705492,0.797272242,0.257054452,0.191459634,1995.6722309999998,2.047109945,5.479999999999999e-05,0.09289659300000001,0.899365277,0.30442089899999997,0.36389942299999994,0.407351476,0.23337449100000002,0.379548192,0.032665899,0.467991823,0.32760644,0.6094700270000001,0.735024259,2002.520249,0.415775648,0.6388365420000001,1982,0.085911979,16.03553126,0.04,16.08972574,0.1605249,0.726122395,0.305903644,0.245522669,1997.9595170000002,1.804323307,0.001363426,46673
3,-1,09aa5c40-f5dc-e811-a2bd-c4346bcb1555,4.46e+42,1.0,2002.9197809999998,0.0013408479999999997,0.22976925199999998,0.556994003,0.233762251,0.000139021,1998.6349309999998,1.746406779,0.21723151,0.75,0.22714524,0.934647931,0.369377899,0.180971429,0.764163028,0.346957998,1.4001189090000001,1.1488396859999999,1.240136561,2.487901752,1.161350995,2.7345726360000002,1.1355047679999999,1.3103927229999999,1.618856619,3.0,1.701438225,2.95126572,0.186705492,0.797272242,0.257054452,0.191459634,1995.6722309999998,2.047109945,5.479999999999999e-05,0.09289659300000001,0.899365277,0.30442089899999997,0.36389942299999994,0.407351476,0.23337449100000002,0.379548192,0.032665899,0.467991823,0.32760644,0.6094700270000001,0.735024259,2002.520249,0.415775648,0.6388365420000001,1982,0.085911979,16.03553126,0.04,16.08972574,0.1605249,0.726122395,0.305903644,0.245522669,1997.9595170000002,1.804323307,0.001363426,51246
4,-1,9eeaab9c-f1dc-e811-a2bd-c4346bcb1555,4.3600000000000004e+42,1.0,2003.0166969999998,0.001357546,0.231586276,0.56617474,0.225320665,9.13e-05,1998.2275,1.7655380280000001,0.233447827,0.75,0.19507451899999997,0.9389903490000001,0.37518739700000003,0.192646725,0.764214313,0.34518386100000004,1.4774035580000002,1.218907389,1.251661635,2.546654377,1.119205582,2.7127146580000003,1.103149724,1.335605895,1.6403033809999998,3.0,1.674534913,3.0,0.213775825,0.787823831,0.255069681,0.195038612,1995.223226,2.150820123,6.27e-05,0.106715296,0.9293831779999999,0.32446461,0.353528916,0.394008901,0.237799066,0.390111927,0.038739333,0.467185909,0.306009785,0.644301123,0.7248126909999999,2003.1148210000001,0.35440147299999997,0.661040816,1982,0.087053625,15.95861836,0.049921303,16.09527776,0.146329994,0.745320158,0.335782686,0.25572062,1997.812238,1.859494015,0.0013806670000000001,54292
5,-1,afddbf1f-f9dc-e811-a2bd-c4346bcb1555,4.3600000000000004e+42,1.0,2003.0166969999998,0.001357546,0.231586276,0.56617474,0.225320665,9.13e-05,1998.2275,1.7655380280000001,0.233447827,0.75,0.19507451899999997,0.9389903490000001,0.37518739700000003,0.192646725,0.764214313,0.34518386100000004,1.4774035580000002,1.218907389,1.251661635,2.546654377,1.119205582,2.7127146580000003,1.103149724,1.335605895,1.6403033809999998,3.0,1.674534913,3.0,0.213775825,0.787823831,0.255069681,0.195038612,1995.223226,2.150820123,6.27e-05,0.106715296,0.9293831779999999,0.32446461,0.353528916,0.394008901,0.237799066,0.390111927,0.038739333,0.467185909,0.306009785,0.644301123,0.7248126909999999,2003.1148210000001,0.35440147299999997,0.661040816,1982,0.087053625,15.95861836,0.049921303,16.09527776,0.146329994,0.745320158,0.335782686,0.25572062,1997.812238,1.859494015,0.0013806670000000001,29951
6,-1,73d415a5-f5dc-e811-a2bd-c4346bcb1555,4.3600000000000004e+42,1.0,2003.0166969999998,0.001357546,0.231586276,0.56617474,0.225320665,9.13e-05,1998.2275,1.7655380280000001,0.233447827,0.75,0.19507451899999997,0.9389903490000001,0.37518739700000003,0.192646725,0.764214313,0.34518386100000004,1.4774035580000002,1.218907389,1.251661635,2.546654377,1.119205582,2.7127146580000003,1.103149724,1.335605895,1.6403033809999998,3.0,1.674534913,3.0,0.213775825,0.787823831,0.255069681,0.195038612,1995.223226,2.150820123,6.27e-05,0.106715296,0.9293831779999999,0.32446461,0.353528916,0.394008901,0.237799066,0.390111927,0.038739333,0.467185909,0.306009785,0.644301123,0.7248126909999999,2003.1148210000001,0.35440147299999997,0.661040816,1982,0.087053625,15.95861836,0.049921303,16.09527776,0.146329994,0.745320158,0.335782686,0.25572062,1997.812238,1.859494015,0.0013806670000000001,3611
7,-1,dcb169fc-f0dc-e811-a2bd-c4346bcb1555,4.3600000000000004e+42,1.0,2002.7546329999998,0.001308431,0.24038467600000002,0.570587455,0.21777139,9.13e-05,1997.948608,1.8152223580000002,0.219895206,0.75,0.23589736600000002,0.947987402,0.35936326700000004,0.151289767,0.7662719720000001,0.32739684399999996,1.6053983809999999,1.1751389209999998,1.224773082,2.613019273,1.078378278,2.787331087,1.12772081,1.291166885,1.689176377,2.931875497,1.710058202,2.932634326,0.196113525,0.7760890770000001,0.265426096,0.189964281,1995.786909,2.059363953,5.479999999999999e-05,0.106109584,0.912046558,0.295994898,0.350768849,0.38637311799999996,0.24518016899999998,0.40498084,0.038485864,0.47385610899999997,0.333212033,0.6399349529999999,0.736202672,2002.208766,0.37021708700000006,0.612515475,1982,0.080016651,16.11212293,0.04,15.980077,0.13921266,0.735968925,0.30698637,0.28184653,1998.0524100000002,1.883694837,0.00144205,38357
8,-1,09bd327d-f8dc-e811-a2bd-c4346bcb1555,4.3600000000000004e+42,1.0,2002.7546329999998,0.001308431,0.24038467600000002,0.570587455,0.21777139,9.13e-05,1997.948608,1.8152223580000002,0.219895206,0.75,0.23589736600000002,0.947987402,0.35936326700000004,0.151289767,0.7662719720000001,0.32739684399999996,1.6053983809999999,1.1751389209999998,1.224773082,2.613019273,1.078378278,2.787331087,1.12772081,1.291166885,1.689176377,2.931875497,1.710058202,2.932634326,0.196113525,0.7760890770000001,0.265426096,0.189964281,1995.786909,2.059363953,5.479999999999999e-05,0.106109584,0.912046558,0.295994898,0.350768849,0.38637311799999996,0.24518016899999998,0.40498084,0.038485864,0.47385610899999997,0.333212033,0.6399349529999999,0.736202672,2002.208766,0.37021708700000006,0.612515475,1982,0.080016651,16.11212293,0.04,15.980077,0.13921266,0.735968925,0.30698637,0.28184653,1998.0524100000002,1.883694837,0.00144205,37840
9,-1,d093b456-f4dc-e811-a2bd-c4346bcb1555,4.3600000000000004e+42,1.0,2002.7546329999998,0.001308431,0.24038467600000002,0.570587455,0.21777139,9.13e-05,1997.948608,1.8152223580000002,0.219895206,0.75,0.23589736600000002,0.947987402,0.35936326700000004,0.151289767,0.7662719720000001,0.32739684399999996,1.6053983809999999,1.1751389209999998,1.224773082,2.613019273,1.078378278,2.787331087,1.12772081,1.291166885,1.689176377,2.931875497,1.710058202,2.932634326,0.196113525,0.7760890770000001,0.265426096,0.189964281,1995.786909,2.059363953,5.479999999999999e-05,0.106109584,0.912046558,0.295994898,0.350768849,0.38637311799999996,0.24518016899999998,0.40498084,0.038485864,0.47385610899999997,0.333212033,0.6399349529999999,0.736202672,2002.208766,0.37021708700000006,0.612515475,1982,0.080016651,16.11212293,0.04,15.980077,0.13921266,0.735968925,0.30698637,0.28184653,1998.0524100000002,1.883694837,0.00144205,33011
10,-1,7ac315f0-31dc-e811-a2bd-c4346bcb1555,4.32e+42,1.0,2003.230879,0.00134161,0.22639906,0.568829974,0.241724422,9.13e-05,1998.426136,1.764549689,0.22724066,0.75,0.218878711,0.945567996,0.357425831,0.182088716,0.7621374470000001,0.35054881600000004,1.542704689,1.220598737,1.229852183,2.512625701,1.1095384990000001,2.764839293,1.116439331,1.315002647,1.662593042,2.9849887710000003,1.708121425,3.0,0.19913009199999998,0.784181018,0.260225673,0.18869277399999998,1995.8151899999998,2.12146665,5.629999999999999e-05,0.108397723,0.9350721470000001,0.299335426,0.354299886,0.394674184,0.255029675,0.40735546899999997,0.033636743999999996,0.45960920299999997,0.318203422,0.6333497929999999,0.72413144,2002.829988,0.40174497200000003,0.659565139,1982,0.08528780400000001,16.01150268,0.040159194,16.04291722,0.14574211199999998,0.7233836690000001,0.326571965,0.270541945,1997.8695519999999,1.9216853319999998,0.00139006,611
